SCAPE	RECEPTACLE	MALEFL	OVAR	RAYS	TOTALSIZE
0.1286	0.0271	0.0167	NA	NA	0.1972
0.0893	0.0308	0.0062	NA	NA	0.1515
0.3346	0.0179	0.0106	NA	NA	0.3888
0.1413	0.0211	0.0105	NA	NA	0.1957
0.106	0.0146	0.0117	NA	NA	0.1506
0.1919	0.0227	0.014	NA	NA	0.2493
0.2111	0.0211	0.0071	NA	NA	0.2667
0.2833	0.0217	0.0136	NA	NA	0.34
0.0649	0.0107	0.0067	NA	NA	0.0903
0.0479	0.0112	0.0053	0.0061	0.0035	0.0836
0.2154	0.0134	0.0083	0.0055	0.0048	0.2577
0.0739	0.0158	0.0081	0.0092	0.0068	0.1298
0.1515	0.016	0.0101	NA	NA	0.196
0.1354	0.0176	0.0086	0.019	0.0086	0.2168
0.0955	0.016	0.0097	0.0112	0.0057	0.155
0.0341	0.0083	0.004	NA	NA	0.0567
0.0936	0.0153	0.0104	0.0091	0.0064	0.1503
0.1063	0.0115	0	0.0041	0.0015	0.129
0.0444	0.0106	0.0058	0.005	0.0035	0.0778
0.0585	0.0109	0.0019	0.0103	0.0065	0.1049
0.0697	0.0147	0.0095	0.0101	0.0084	0.1309
0.1089	0.0128	0.0079	0.007	0.0078	0.1592
0.0861	0.0173	0.0096	0.0099	0.0078	0.1484
0.1648	0.0141	0.0117	0.0096	0.006	0.2218
0.0973	0.0139	0.0053	0.0132	0.0066	0.1561
0.0974	0.0147	0.0067	0.0095	0.0057	0.1492
0.1149	0.013	0.0068	0.0102	0.0082	0.1715
0.1127	0.0154	0.0119	0.0106	0.0059	0.173
0.212	0.0182	0.0101	0.0164	0.0098	0.2927
